Region,NameTm,AoR,Lodging,Hotel,Hospital,RegionLinked
Ahal wela├╜aty,Akbugda├╜ etraby,790,2,0,0,1
Ahal wela├╜aty,Babada├╜han etraby,0,0,0,0,1
Ahal wela├╜aty,Baharly etraby,0,0,0,0,1
Ahal wela├╜aty,Baharly ┼ƒ├ñheri,0,0,0,0,1
Ahal wela├╜aty,Derweze etraby,0,0,0,0,1
Ahal wela├╜aty,G├╢kdepe etraby,0,0,0,1,1
Ahal wela├╜aty,G├╢kdepe ┼ƒ├ñheri,0,0,0,0,1
Ahal wela├╜aty,Kaka etraby,2,1,0,0,1
Ahal wela├╜aty,Ruhabat etraby,0,0,0,0,1
Ahal wela├╜aty,Sarahs etraby,0,1,0,0,1
Ahal wela├╜aty,Tejen etraby,0,0,0,0,1
Ahal wela├╜aty,Tejen ┼ƒ├ñheri,0,0,0,0,1
Ahal wela├╜aty,├änew ┼ƒ├ñheri,0,0,0,0,1
A┼ƒgabat ┼ƒ├ñheri,Abadan ┼ƒ├ñheri,0,0,0,0,1
A┼ƒgabat ┼ƒ├ñheri,Ar├ºabil etraby,0,0,0,0,1
A┼ƒgabat ┼ƒ├ñheri,Azatlyk etraby,0,0,0,0,1
A┼ƒgabat ┼ƒ├ñheri,A┼ƒgabat ┼ƒ├ñheri,1242,12,15,2,1
A┼ƒgabat ┼ƒ├ñheri,K├╢petdag etraby,0,0,0,0,1
A┼ƒgabat ┼ƒ├ñheri,T├╝rkmenistany┼ê Gahrymany Atamyrat Ny├╜azow etraby,0,0,0,0,1
A┼ƒgabat ┼ƒ├ñheri,├çandybil etraby,0,0,0,0,1
Balkan wela├╜aty,Altyn asyr etraby,0,0,0,0,1
Balkan wela├╜aty,Balkan wela├╜atyny┼ê Balkanabat ┼ƒ├ñheri,0,0,0,0,1
Balkan wela├╜aty,Balkan wela├╜atyny┼ê T├╝rkmenba┼ƒy etrabyny┼ê Gy├╜anly obasy,0,0,0,0,1
Balkan wela├╜aty,Balkanabat ┼ƒ├ñheri,25,3,2,0,1
Balkan wela├╜aty,Bereket etraby,0,0,0,0,1
Balkan wela├╜aty,Bereket ┼ƒ├ñheri,0,0,0,0,1
Balkan wela├╜aty,Esenguly etraby,0,0,0,0,1
Balkan wela├╜aty,Etrek etraby,0,0,0,0,1
Balkan wela├╜aty,Garabogaz ┼ƒ├ñheri,3,1,0,0,1
Balkan wela├╜aty,Gumdag ┼ƒ├ñheri,4,2,0,0,1
Balkan wela├╜aty,Hazar ┼ƒ├ñheri,0,0,0,0,1
Balkan wela├╜aty,Magtymguly etraby,0,0,0,0,1
Balkan wela├╜aty,Serdar etraby,75,1,1,0,1
Balkan wela├╜aty,Serdar ┼ƒ├ñheri,0,0,0,0,1
Balkan wela├╜aty,T├╝rkmenba┼ƒy etraby,1125,9,5,0,1
Balkan wela├╜aty,T├╝rkmenba┼ƒy ┼ƒ├ñheri,1,0,3,0,1
Da┼ƒoguz wela├╜aty,Akdepe etraby,0,0,0,0,1
Da┼ƒoguz wela├╜aty,Boldumsaz etraby,0,0,0,0,1
Da┼ƒoguz wela├╜aty,Da┼ƒoguz ┼ƒ├ñheri,43,0,1,0,1
Da┼ƒoguz wela├╜aty,Gubadag etraby,0,0,0,0,1
Da┼ƒoguz wela├╜aty,Gurbansoltan-eje ad. etraby,0,0,0,0,1
Da┼ƒoguz wela├╜aty,G├╢rogly etraby,0,0,0,0,1
Da┼ƒoguz wela├╜aty,K├╢ne├╝rgen├º etraby,0,0,0,0,1
Da┼ƒoguz wela├╜aty,K├╢ne├╝rgen├º ┼ƒ├ñheri,0,0,0,0,1
Da┼ƒoguz wela├╜aty,Ruhubelent etraby,0,0,0,0,1
Da┼ƒoguz wela├╜aty,S.A.Ny├╜azow ad. etraby,0,0,0,0,1
Da┼ƒoguz wela├╜aty,Saparmyrat T├╝rkmenba┼ƒy ad. etraby,0,0,0,0,1
Da┼ƒoguz wela├╜aty,T├╝rkmenistany┼ê Gahrymany Gurbansoltan eje etraby,0,0,0,0,1
Lebap wela├╜aty,Atamyrat etraby,0,0,0,0,1
Lebap wela├╜aty,Atamyrat ┼ƒ├ñheri,0,0,0,0,1
Lebap wela├╜aty,Be├╜ik Saparmyrat T├╝rkmenba┼ƒy ad. etraby,53,1,0,0,1
Lebap wela├╜aty,Birata etraby,0,0,0,0,1
Lebap wela├╜aty,D├╢wletli etraby,4,1,0,0,1
Lebap wela├╜aty,Farap etraby,0,0,0,0,1
Lebap wela├╜aty,Galkyny┼ƒ etraby,0,0,0,0,1
