Orta mekdep	428
Manisa tehniki yörite orta hünärmenlik mekdebi	89
Bilim Ministrligi Ankara s. Gayybana yörite orta hünärmenlik mekdebi	79
Orta Gündogar Tehniki Uniwersiteti	61
Anadolu Uniwersiteti, Senagat yörite orta hünärmenlik mekdebi	46
Yildiz Tehniki Uniwersiteti	46
Istanbul Tehniki uniwersiteti	38
Kocaeli Uniwersiteti	27
Marmara Uniwersiteti	26
Stambul Tehnik Uniwersiteti	26
Gazi Uniwersiteti Polatly sosiologiya hünärmentlik yokary okuw jayy, Anadolu hünärmentlik mekdebi	23
Gaziantep Uniwersiteti	22
Kojaeli Uniwersiteti	20
Garadeniz Tehniki Uniwersiteti	19
Erciyes Uniwersiteti	18
Firat Uniwersiteti	16
Uludag Uniwersiteti	16
Sakarya Uniwersiteti	15
Sakarya Uniwersiteti	14
Anadolu Uniwersiteti	14
Yildiz Teknik Uniwersiteti	13
Selçuk uniwersiteti	13
Atatürk Uniwersiteti	13
Dokuzynjy Sentyabr Uniwersiteti	13
Milli Bilim Ministrligi Ömür Boyy Öwrenis Bas Müdürligine degisli hünärmen kursy	13
Mustafa Kemal uniwersiteti	12
Çukurowa Uniwersiteti / Adana yokary hünär mekdebi	12
Orta Dogu Tehniki Uniwersiteti	12
Gazi uniwersiteti,Kirikkale uniwersiteti/Kirikkale yörite orta hünärmenlik mekdebi	11
Swessariyanyn BRUGG kabel isleri akademiyasy kursy	10
Istanbul Tehnik Uniwersiteti	10
Istanbul Teknik Uniwersiteti	9
Baskent Uniwersiteti	9
Bogaziçi uniwersiteti	9
Eskisehir Osmangazi Uniwersiteti	9
Gazi Uniwersiteti	9
Dokuz Eylül uniwersiteti	8
Trakya Uniwersiteti	8
Education Institution Of Janet Levering	8
Stambul Uniwersiteti	8
Çukurowa Uniwersiteti	8
Californiya Uniwersiteti	8
Milli Bilim Ministrligi / ussalyk sahadatnamasy	8
Istanbul Uniwersiteti	8
Akdeniz Uniwersiteti, Anadolu Uniwersiteti	7
Kirikkale Uniwersiteti/Kirikkale yörite orta hünärmenlik mekdebi	7
Halkara Belgetürk ygtyyarlandyrma kurslary	7
Ege Uniwersiteti	7
Istanbul we Yeditepe Uniwersiteti	7
Ömürboyy Öwrenis Bas Müdürligi,Gayybana yörite orta hünärmenlik mekdebi	7
Istanbul Uniwersiteti, Garadeniz Tehnik Uniwersiteti	7
Süleyman Demirel Uniwersiteti	6
Dumlupynar Uniwersiteti/Simaw yörite orta hünärmenlik mekdebi	6
Afyon Kocatepe Uniwersiteti	6
Yyldyz Uniwersiteti	6
Pamukkale Uniwersiteti	6
Yyldyz Tehniki Uniwersiteti	6
Bartin Uniwersiteti	6
Hajettepe Uniwersiteti	6
Mersin uniwersiteti, Balikesir köp maksatnamaly hünärmen tayyarlama yörite orta hünärmen mekdebi	6
Ankara uniwersiteti	6
Balykesir Uniwersiteti	6
Hemiselik Bas bilim müdirliginin açyk okuw müdirligi,Hailo Wind Systems Sahadatnama-HWS0702220252	5
Milli Bilim Ministrligi metal tehnologiya kursy	5
N.E Bauman adyndaky Moskwa döwlet tehniki uniwersiteti	5
Istanbul Tehnik Uniwersiteti	5
Hacettepe Uniwersiteti, Anadolu Uniwersiteti	5
Yakyn Gündogar Uniwersiteti	5
Cumhuriyet yörite orta hünärmenlik mekdebi	5
Çankaya Uniwersiteti	4
CCVD-VCA okuw kursy	4
Milano Politehniki instituty	4
Zonguldak Bülent Ecevit uniwersiteti	4
Düzje Uniwersiteti	4
Mebel gurnayjynyn sertifikaty	4
AEQT/EST kurslary	4
Changwon-Nam yörite orta hünärmen mekdebi, Hyosung Goodspings degisli hünärmen kursy	4
Ondokuzmayis uniwersiteti	4
Ankara Uniwersiteti, Sakarya Uniwersiteti	4
Imamoglu yörite orta hünärmen mekdebi, Hayat Boyu Ögrenme Genel  Müdürligine degisli hünärmen kursy	4
Milli Bilim Ministrligi Gayybana yörite orta hünärmenlik mekdebi	4
Hayat Boyu Ögrenme Genel  Müdürligine degisli Mersin s.hünärmen kursy	4
Istanbul Teknik Uniwersiteti	4
Karabük Üniwersiteti	4
Metalock Engineereing UK okuw kursy	4
Karadeniz Tehnik Uniwersiteti	4
Lilya akademiyasy	4
Manisa Celal Bayar Uniwersiteti	4
Gebze Senagat yörite orta hünärmenlik mekdebi	4
Kütahya Dumlupinar uniwesiteti	4
Iskenderun Tehnik Uniwersiteti	4
Mavi Belge Halkara Sertifikasiya we gözegçilik	4
Balikesir Uniwersiteti	4
...	4
Kirklareli uniwersiteti	4
Gündogar mediterian uniwersiteti	4
Harran Uniwersiteti	3
Istanbul s. orta mekdep	3
Fatih Uniwersiteti	3
Istanbul Medeniyet Uniwersiteti	3
Jumhuriyet Uniwersiteti	3
Bilkent Uniwersiteti	3
Selçuk Uniwersiteti Hadim yörite orta hünärmenlik mekdebi	3
Dogu Akdeniz Uniwersiteti	3
Izmir s.orta mekdep,	3
Bülent Ecevit uniwersiteti	3
Ussalyk Sahadatnamasy	3
Kiremithane senagat hünärmen yörite orta mekdebi	3
Atilim Uniwersiteti	3
Sütçü Imam yörite orta hünärmenlik mekdebi	3
Singapuryn Milli Uniwersiteti	3
TMMOB mehanika inzener kurslary	3
Atatürk Anadolu yörite orta hünärmenlik mekdebi	3
Pukyong milli Uniwersiteti	3
Liege uniwersiteti	3
Jelal Bayar Uniwersiteti	3
Istanbul Bilgi uniwersiteti	3
Dumlupynar Uniwersiteti	3
Kirikkale senagat yörite orta hünärmenlik mekdebi	3
Iskenderun Hünärmen bilim merkezi	3
Ankara liseyi	3
Mumbai uniwersiteti	3
Pune uniwersiteti	3
Istanbul Tehnik Uniwersiteti	3
Hayat Boyu Ögrenme Genel  Müdürligine degisli Ankara s.hünärmen kursy	3
Afyon Kojatepe Uniwersiteti	3
Süleyman Demirel Anadolu yörite orta hünärmenlik mekdebi	3
Bogaziçi uniwersiteti	3
Karadeniz teknik uniwersiteti	3
Milli Bilim Ministrligi metal tehnologiyasy kursy	3
Mugla Uniwersiteti	3
Hacettepe Uniwersiteti	3
Sisli senagat yörite orta hünärmenlik mekdebi	3
Madurai Kamaraj Uniwersiteti	3
Nigde Uniwersiteti	3
Namyk Kemal uniwersiteti	3
Istanbul Aydin Uniwersiteti	3
Kazan Döwlet  Energetika Uniwersiteti.	3
Bolgariyanyn tehniki uniwersiteti "Warna"	3
Hytayyn is dolandyrys okuw merkezi(Milli logistikany dolandyrys okuwy)	2
Gazi uniwersiteti, Çorum yörite orta hünärmenlik mekdebi	2
Zagreb Uniwersiteti	2
Ceyhan Senagat Hünärmen lisey	2
Süleyman Demirel uniwersiteti	2
Bingöl uniwersiteti	2
Nigde Cumhuriyet yörite orta hünärmenlik mekdebi	2
Gölcük senagat yörite orta hünarmenlik mekdebi	2
Erjiyes Üniwersiteti	2
Orta mekdep, is tejribeli	2
Gölcuk Senagat yörite orta hünärmenlik mekdebi	2
Tarsus Senagat Hünärmen liseyi	2
Düzce Uniwersiteti	2
Kataloniyanyn Politehniki uniwersiteti	2
GE Energiya Hyzmatlary	2
Cevat Koçak yörite orta hünärmenlik mekdebi	2
Istanbul Uniwersiteti,tehniki ylymlar hünär mekdebi	2
Koreyanyn Halkara Uniwersiteti	2
Zonguldak Kilimli yörite orta hünärmenlik mekdebi	2
Hebei Tehnologiya uniwersiteti	2
Atylym Uniwersiteti	2
Derby Lonsdale Kolleji	2
Kebsirleyji operatorynyn hünär sertifikatlary	2
Hasandede Orhan Demirhan köp maksatnamaly yörite orta hünärmenlik mekdebi	2
Yildiz tehnika uniwersiteti	2
Istanbul Bilim Uniwersiteti	2
Cumhuriet yörite orta hünärmenlik mekdebi, ussalyk sahadatnamasy	2
Gruziya Tehnologiya Uniwersitety	2
City and Guilds instituty	2
I. M. Gubkin adyndaky nebit we gaz Russiya Döwlet Uniwersiteti	2
Jeyhan Senagat Hünärmen liseyi	2
Süytçi Ymam uniwersiteti	2
Fransiya,Tuluza amaly ylymlar  Milli Instituty	2
Baku Döwlet Uniwersiteti	2
Tehniki yörite orta hünärmenlik mekdebi	2
Payas Tehniki we senagat hünärmen mekdebi,Osmaniye yörite orta hünärmenlik mekdebi	2
Ispaniyanyn Pere Martell adyndaky Instituty,AEQT-AEST okuw kursy	2
Abant Izzet Baysal Uniwersiteti	2
Rize Senagat Hünärmen liseyi	2
Sardar Patel Uniwersiteti	2
Uludag uniwersiteti	2
Anadolu tehniki yörite orta hünärmenlik mekdebi	2
Dogus uniwersiteti	2
Scheuerle kursy	2
Zonguldak Karaelmas Uniwersiteti	2
Bahçesehir Uniwersiteti, Istanbul Uniwersiteti	2
Kakatiya uniwersiteti	2
Akdeniz Uniwersiteti, Tehniki ylymlaryn hünärmenlik okuwy	2
TUR., Ordu s., orta mekdep	2
Kazan döwlet binagärçilik we gurlusyk uniwersiteti	2
Kahramanmaras Sütçü Imam Uniwersiteti	2
Pendik Hünärmen Bilim Merkezi	2
Angliyanyn we Welsyn hukukçylar jemgyyeti	2
Varna Tehniki Uniwersiteti	2
Hayat Boyu Ögrenme Genel  Müdürligine degisli hünärmen kursy/Kebsirleyji kwalifikasiya belgisi	2
Kompen Tehnologiki uniwersiteti	2
Gazak-Amerikan uniwersiteti	2
GDANSK Tehnologiya Uniwersiteti	2
Izmir s.orta mekdep,Izmir Menemen Erdinç -Ahmet Cengiz  hünärmentlik merkezi	2
Izmit senagatyörite orta hünärmenlik mekdebi	2
Ihsan Dogramajy Bilkent Uniwersiteti	2
Rejep Tayyp Erdogan Uniwersiteti, Tehniki ylymlar yörite orta hünärmenlik mekdebi	2
Kahramanmaras Senagat Hünärmen liseyi	2
Elbistan Hünärmen liseyi	2
Besançon Uniwersiteti	2
Chennai Anna uniwersiteti	2
Girne Amerikan Uniwersiteti	2
Trakya Uniwersiteti	2
Gujarat Uniwersiteti	2
Gazak milli tehniki uniwersiteti	2
Osmaniye hünärmenlik we Tehniki Anadolu yörite ortamekdebi	2
Yeditepe uniwersiteti	2
Yeditepe Uniwersiteti	2
Stambul s.orta mekdep, Stambul-Kadyköy Kadyköy Halk Bilim Merkezi we Agsam okuwy	2
Kebsirleyji hünäri boyunça halkara  instituty	2
Lenin ordeninin Kiyew politehniki instituty	2
Milli Bilim Ministrligi, Grid Alstars kursy	2
Zonguldak s. ömürboyy öwrenis bas müdirligi, hünärmentlik açyk bilim yörite orta mekdebi	2
Afyon Kocatepe uniwersiteti/Afyon yörite orta hünärmenlik mekdebi	2
Rijeka uniwersiteti	2
Istanbul Aydin Uniwersiteti/Anadolu yörite orta hünärmentlik mekdebi	2
Istinye yörite orta hünärmen mekdebi	2
Ömürboyy Öwrenis Bas Müdürligi, Sahinbey yörite orta hünärmen mekdebi	2
Cumhuriyet yörite hünärmenlik orta mekdebi.,Yahsihan hünärmentlik okuw merkezi ussalyk sahadatnamasy	2
Namik Kemal Uniwersiteti/Tehniki taydan ylymlaryn hünär mekdebi	2
Selçuk Uniwersiteti, Inzenerçilik we binagärçilik fakulteti	2
Dutlupinar s.orta mekdebi	2
Odessanyn Politehniki Instituty	2
TOBB Ykdysadyyet we Tehnologiya Uniwersiteti	2
Tehniki Bilimler Genesi, Rajasthan	2
Kütahya senagat yörite orta hünärmen mekdebi	2
Çukurowa Uniwersiteti/Osmaniye hünärmenlik yörite orta mekdebi	2
Gayybana hünär mekdebi, Ankara	2
Azerbayjan tehniki uniwersiteti	2
Ege uniwersiteti,Ege Hünärmen liseyi	2
Osmaniye Cumhuriyet yörite orta hünärmenlik mekdebi	2
Jawaharlal Nehru adyndaky Haydarabad tehnologiki uniwersiteti	2
Sheffield Hallam uniwersiteti	2
Kirklareli senagat yörite orta hünärmen mekdebi	2
Nowara Yokary okuw jayy	2
Yozgat hünärmen liseyi	2
Galatasaray uniwersiteti	2
Yyldyrym Beyazit senagat hünärmen liseyi	2
Malatya s.orta mekdebi	2
London instituty	2
Dumlupynar uniwersiteti/Kütahya yörite orta hünärmenlik mekdebi	2
Milli bilim ministirligi,ussalyk sahadatnamasy.,kebsirleme operatorlyga yeterli sertifikaty	2
Inönü Uniwersiteti	2
Zonguldak senagat yörite orta hünärmen mekdebi	2
ANKARA Uniwesiteti, ÇANKIRI hünärment mekdebi	2
Çennai Anna uniwersiteti	2
Gaziosmanpasa Uniwersiteti/Turhal yörite orta hünärmenlik mekdebi	2
Badji Mokhtar-Annaba Uniwersiteti	2
Haydarpasa Senagat yörite hünärmen mekdebi,  Kartal hünärmenlik okuw merkezi	2
Igde köp ugurly liseyi	2
Hayat Boyu Ögrenme Genel Müdürligi	2
Döwlet Ähliumumy inzeneriya instituty	2
Orta mekdep,Stambul s.	2
Istanbul s. orta mekdep	2
Hayat Boyu Ögrenme Genel  Müdürligine degisli Istanbul s.hünärmen kursy	2
Osmaniye s.orta mekdep., Uniwersal sertifikatlandyrys hünär kwalifikasiya hyzmatlaryn guramasy	2
Kair Uniwersiteti	2
Ceyhan yörite orta hünärmenlik mekdebi	2
Ysyk uniwersiteti	2
Ankara/Yenimahalle/(123323)Ostim hünärmenlik okuw,Sehit Ümit Tekinaslan yörite orta hünärmen mekdebi	2
Orta mekdep Kayseri s.,Hususy Çetinler is enjamlary okuw merkezi	2
Yasar Dedeman yörite orta hünärmenlik mekdebi	2
Cumhuriyet Uniwersiteti/Susehri Timur Karabal hünärmenlik yörite orta mekdebi	2
Keio Uniwersiteti	2
Feati uniwersiteti	2
Recep Tayyip Erdogan uniwersiteti,Barbaros senagat yörite orta hünärmenlik mekdebi	1
Andyryn köp meyilnamaly hünärmentlik mekdebi	1
Sanyan Himiya Uniwersiteti	1
Gebze Yokary Tehnologiya Instituty	1
Aston uniwersiteti	1
DOGUS Uniwersiteti.	1
"S.YESENOWA adyndaky Kaspi tehnologiya we inzenerçilik Uniwersiteti"	1
Hünär akkreditasiyasynyn sahadatnama SAU	1
Tehas A&M uniwersiteti	1
Üsküdar s.,orta mekdep	1
Atatürk senagat yörite orta hünärmen mekdebi	1
Ege Üniwersiteti/ Ege hünärment mekdebi	1
Hasandede Orhan Demirhan yörite orta hünärmenlik mekdebi	1
Badirma tehniki yörite orta hünärmenlik we senagat mekdebi	1
Atalar we tehniki Anadolu yörite orta hünärmenlik mekdebi	1
Atatürk Uniwersiteti, Zonguldak Karaelmas Uniwersiteti, IOSH kurs merkezi	1
Gültepe senagat yörite orta hünärmen mekdebi	1
Tarsus hünär okuwy merkezi	1
Changzhou uniwersiteti	1
Yasar Dedeman yörite orta hünärmenlik mekdebi	1
Midyat yörite orta hünärmenlik mekdebi	1
Karmanoglu Mehmetbey Uniwersiteti	1
Sanhay Tehnoligiya uniwersiteti	1
Midyat yörite orta hünärmenlik mekdebi	1
Hytayyn Geologiki ylymlar uniwersiteti	1
Babasaheb Ambedkar ad.tehnologiki uniwersiteti	1
