SetToDash,Name,UsageCount,Guess,ActualPositionId
,-,597,,ecf3928c-4df0-43e5-495f-08ded3809e91
,617-,170,,2e015690-0c95-4647-4985-08ded3809e91
,1902 -,60,,8406634e-0b46-4f60-49bc-08ded3809e91
,BORUCU EKİPBAŞI,31,,2fc10748-ee51-4c55-9aea-08ded5cfb542
,Süpervizör,30,,f2f36ffe-39f1-4c59-9ac9-08ded5cfb542
,mobilya montaj,28,,6b460301-f151-4350-9b06-08ded5cfb542
,.,23,review,ccaa164b-9374-4b0d-497c-08ded3809e91
,Kaynakçı postabaşı,22,,90707aa3-e741-4a0f-9b03-08ded5cfb542
,Borucu ekipbaşı,18,,f23ce2f3-ebeb-4dea-9acb-08ded5cfb542
,KAYNAKÇI POSTABAŞI,18,,957d5266-78ce-45c4-9ac1-08ded5cfb542
,Elektrik Mühendisi,12,,93f44103-91ae-4cdb-838b-08ded5cff1a6
,Kaynakçı,11,,f9bd4ab4-5d10-4588-835a-08ded5cff1a6
,Ekipbaşı (HRSG),10,,8639bef3-c63b-4f44-9af8-08ded5cfb542
,334-,9,,edc5a58c-50cc-452a-49b1-08ded3809e91
,MEKANİK EKİPBAŞI,9,,a40c1c49-62ef-4a0d-9b18-08ded5cfb542
,Saha Mühendisi,9,,1570fcd6-1164-4748-9ace-08ded5cfb542
,Ekipbaşı,8,,92e94e25-968b-4215-839b-08ded5cff1a6
,KAYNAKÇI,8,,fe0633d9-7d09-4120-9b02-08ded5cfb542
,Makine mühendisi,8,,f9b8216f-c5b8-4bf6-83e3-08ded5cff1a6
,BORUCU POSTABAŞI,7,,0d57c391-e262-46ba-838d-08ded5cff1a6
,MAKİNE MÜHENDİSİ,7,,688ee063-233a-4454-8457-08ded5cff1a6
,supervizor,7,,c64b13c3-2040-4b5b-9af2-08ded5cfb542
,Şantiye Şefi,7,,53367b53-22c9-4bac-9b2a-08ded5cfb542
,DEVREYE ALMA SÜPERVİZÖRÜ,6,,029ca7c1-4518-4e32-9ae4-08ded5cfb542
,EKİPBAŞI  - BORUCU,6,,2f2695cd-74b7-47c2-83c3-08ded5cff1a6
,elektrik formeni,6,,e0ca1657-5bfd-4fe2-84aa-08ded5cff1a6
,Elektrik teknikeri,6,,7b1cec65-7721-4d1d-9af4-08ded5cfb542
,ELEKTRİK SÜPERVİZÖRÜ,6,,1ae5d9ec-1e5d-44f7-83bf-08ded5cff1a6
,ENSTRÜMANTASYON VE KONTROL SÜPERVİZÖRÜ,6,,d139340b-3f8d-49fb-855c-08ded5cff1a6
,Proje Uzmanı,6,,8d8035c7-64f9-4978-8431-08ded5cff1a6
,PROJECT MANAGER,6,,ecd9349e-c097-47f5-84db-08ded5cff1a6
,Ustabaşı Ekipman Montajcı,6,,022f6bdd-a486-4b08-83e7-08ded5cff1a6
,İşletme Operatörü,6,,ffb1c6a8-09c5-454e-9b51-08ded5cfb542
,1462-,5,,b2839ed4-7d64-484c-498d-08ded3809e91
,221-,5,,e2c2fc35-7cba-49c7-4974-08ded3809e91
,2364-,5,,e989b365-cd6d-4c8f-4a0d-08ded3809e91
,741-,5,,1341ec43-8b56-4471-497b-08ded3809e91
,Assembly Team Leader,5,,246e3361-577a-4364-9b5d-08ded5cfb542
,BORUCU,5,,f2ee9bc1-171d-47a3-9acd-08ded5cfb542
,ELEKTRİK MÜHENDİSİ,5,,d9c67f88-264f-4778-9b3d-08ded5cfb542
,Field Technical Manager,5,,0eb0b5af-bd89-4e25-9aed-08ded5cfb542
,GE Süpervizör,5,,f24bbab5-58a6-4d4f-835d-08ded5cff1a6
,Kalite Kontrol Şefi,5,,3d6c6422-330c-4a71-8362-08ded5cff1a6
,Mechanical,5,,02020307-11c8-4c58-9b2d-08ded5cfb542
,mekanik ekip başı,5,,c5971d1c-b91b-4b4c-83d7-08ded5cff1a6
,Operatör,5,,92d0d672-ae17-42e3-9b4b-08ded5cfb542
,SAHA MÜHENDİSİ,5,,55ef38e0-36c3-4971-9b46-08ded5cfb542
,Saha Teknisyeni,5,,d0137e5f-eea6-4962-9b79-08ded5cfb542
,supervisor,5,,56d8c839-0e9d-4c20-9b59-08ded5cfb542
,supervizör,5,,71d4d941-087b-492e-8369-08ded5cff1a6
,Süpervizor,5,,5a747f5a-8cc4-46be-9b07-08ded5cfb542
,Süpervizör (Trafolar),5,,c7a0b2de-356a-4366-9b3a-08ded5cfb542
,SÜRÜCÜ,5,,402b2424-eee9-4dc0-9b39-08ded5cfb542
,USTABAŞI BORUCU,5,,0d873dec-7e3b-461c-9ae9-08ded5cfb542
,1003-,4,,091680fe-fca5-4cca-49c2-08ded3809e91
,1155-,4,,ae8885e6-a750-4f72-49df-08ded3809e91
,1345-,4,,7d07700a-8594-416d-49f4-08ded3809e91
,200-,4,,1d557798-0e09-426c-4978-08ded3809e91
,2310-,4,,9540578f-427e-4ff5-49ad-08ded3809e91
,ART 500 kv tap changer-teknık çalışmaları,4,,60887686-e7f6-4c2d-9b75-08ded5cfb542
,Borulama Süpervizörü,4,,3751e4e2-1a43-400d-83cb-08ded5cff1a6
,CHEMICAL CLEANING SUPERVISOR,4,,6a76fb5e-ef2e-4d37-9b08-08ded5cfb542
,Commissioning engineers,4,,0421db95-dbdd-462a-8365-08ded5cff1a6
,Electrical,4,,1e23635d-54d5-4938-85ed-08ded5cff1a6
,Elektrik Süpervizörü,4,,a72fecd0-f960-45a0-8565-08ded5cff1a6
,Elektrik tekniker (Eleketrik Tehnigi),4,,e633f675-76f9-42b7-844c-08ded5cff1a6
,Elektrik teknisyeni,4,,097728c2-7bcf-4477-850d-08ded5cff1a6
,Elektrik Ustası,4,,29ebdd35-3250-4fa7-83fd-08ded5cff1a6
,Field Engineer,4,,8815c8e4-a5ac-48d7-9b65-08ded5cfb542
,Formen,4,,6205c83e-66de-4b70-8435-08ded5cff1a6
,Full kaynakçı,4,,4dfa0f73-6dd8-480b-8375-08ded5cff1a6
,GAZ ALTI KAYNAKÇISI,4,,174ceb9c-8429-41bc-9ad1-08ded5cfb542
,Genel Müdür,4,,c92273a4-5a54-4d1d-835e-08ded5cff1a6
,HV Cable Chef jointer,4,,9716dfdd-45f3-4753-864c-08ded5cff1a6
